As a disciplined NBA betting analyst, I have reviewed the AI's predictions against the actual game results for 2026-03-11.

Here's the breakdown:

1.  **Minnesota Timberwolves +1.5 vs Los Angeles Clippers @ 1.95 - Confidence: High, Units: 1.5u**
    *   Actual Result: Minnesota Timberwolves 128 @ Los Angeles Clippers 153
    *   Outcome: **LOSS** (Clippers won by 25 points, covering -1.5)

2.  **Orlando Magic +3.5 vs Cleveland Cavaliers @ 1.99 - Confidence: High, Units: 1.5u**
    *   Actual Result: Cleveland Cavaliers 122 @ Orlando Magic 128
    *   Outcome: **WIN** (Magic won by 6 points, covering +3.5)

3.  **Houston Rockets +7.0 vs Denver Nuggets @ 1.94 - Confidence: High, Units: 1.5u**
    *   Actual Result: Houston Rockets 93 @ Denver Nuggets 129
    *   Outcome: **LOSS** (Nuggets won by 36 points, Rockets did not cover +7.0)

4.  **Toronto Raptors -2.5 vs New Orleans Pelicans @ 1.97 - Confidence: High, Units: 1.5u**
    *   Actual Result: Toronto Raptors 111 @ New Orleans Pelicans 122
    *   Outcome: **LOSS** (Pelicans won by 11 points, Raptors did not cover -2.5)

5.  **Utah Jazz +14.0 vs New York Knicks @ 1.93 - Confidence: High, Units: 1.5u**
    *   Actual Result: New York Knicks 134 @ Utah Jazz 117
    *   Outcome: **LOSS** (Knicks won by 17 points, Jazz did not cover +14.0)

---

**Summary of AI Prediction Performance:**

*   **Total Wins: 1**
*   **Total Losses: 4**
*   **Total Pushes: 0**
