As a disciplined NBA betting analyst, I have reviewed the AI's predictions against the actual game results for 2026-04-01.

Here's the breakdown:

1.  **Houston Rockets -18.5 vs Milwaukee Bucks @ 1.94 - Confidence: High, Units: 1.5u**
    *   Actual Result: Milwaukee Bucks 113 @ Houston Rockets 119
    *   Outcome: **LOSS** (Houston won by 6 points, failing to cover the -18.5 spread.)

2.  **Denver Nuggets -17.0 vs Utah Jazz @ 1.94 - Confidence: High, Units: 1.5u**
    *   Actual Result: Denver Nuggets 130 @ Utah Jazz 117
    *   Outcome: **LOSS** (Denver won by 13 points, failing to cover the -17.0 spread.)

3.  **Toronto Raptors -12.5 vs Sacramento Kings @ 1.95 - Confidence: High, Units: 1.5u**
    *   Actual Result: Sacramento Kings 123 @ Toronto Raptors 115
    *   Outcome: **LOSS** (Toronto lost by 8 points, failing to cover the -12.5 spread.)

4.  **San Antonio Spurs -14.0 vs Golden State Warriors @ 1.92 - Confidence: High, Units: 1.5u**
    *   Actual Result: San Antonio Spurs 127 @ Golden State Warriors 113
    *   Outcome: **PUSH** (San Antonio won by exactly 14 points, which equals the -14.0 spread.)

---

**Summary of AI Prediction Performance:**

*   **Total Wins: 0**
*   **Total Losses: 3**
*   **Total Pushes: 1**
