As a disciplined NBA betting analyst, I have reviewed the AI's predictions against the actual game results for 2026-04-20.

Here's the breakdown:

1.  **Cleveland Cavaliers vs Toronto Raptors Over 222.0 @ 1.95 - Confidence: Medium, Units: 1u**
    *   Actual Result: Toronto Raptors 105 @ Cleveland Cavaliers 115
    *   Outcome: **LOSS** (Total points 220 is under 222.0)

2.  **New York Knicks ML vs Atlanta Hawks @ 1.40 - Confidence: High, Units: 1.5u**
    *   Actual Result: Atlanta Hawks 107 @ New York Knicks 106
    *   Outcome: **LOSS** (Knicks lost)

3.  **Denver Nuggets ML vs Minnesota Timberwolves @ 1.35 - Confidence: High, Units: 1.5u**
    *   Actual Result: Minnesota Timberwolves 119 @ Denver Nuggets 114
    *   Outcome: **LOSS** (Nuggets lost)

4.  **Cleveland Cavaliers ML vs Toronto Raptors @ 1.25 - Confidence: High, Units: 1.5u**
    *   Actual Result: Toronto Raptors 105 @ Cleveland Cavaliers 115
    *   Outcome: **WIN** (Cavaliers won)

---

**Summary of AI Prediction Performance:**

*   **Total Wins: 1**
*   **Total Losses: 3**
*   **Total Pushes: 0**
