As a disciplined NBA betting analyst, I have reviewed the AI's predictions against the actual game results for 2026-05-01.

Here's the breakdown:

1.  **Toronto Raptors +4.5 vs Cleveland Cavaliers @ 1.93 - Confidence: High, Units: 1.5u**
    *   Actual Result: Cleveland Cavaliers 110 @ Toronto Raptors 112
    *   Outcome: **WIN** (Raptors won by 2 points, covering the +4.5 spread.)

2.  **Orlando Magic +3.5 vs Detroit Pistons @ 1.98 - Confidence: High, Units: 1.5u**
    *   Actual Result: Detroit Pistons 93 @ Orlando Magic 79
    *   Outcome: **LOSS** (Magic lost by 14 points, failing to cover the +3.5 spread.)

3.  **Houston Rockets -3.5 vs Los Angeles Lakers @ 1.96 - Confidence: High, Units: 1.5u**
    *   Actual Result: Los Angeles Lakers 98 @ Houston Rockets 78
    *   Outcome: **LOSS** (Rockets lost by 20 points, failing to cover the -3.5 spread.)

---

**Summary of AI Prediction Performance:**

*   **Total Wins: 1**
*   **Total Losses: 2**
*   **Total Pushes: 0**
