As a disciplined NHL betting analyst, I have reviewed the AI's predictions against the actual game results for 2026-03-07.

Here's the breakdown:

1.  **Philadelphia Flyers vs Pittsburgh Penguins Under 5.5 @ 1.9 - Confidence: High, Units: 1.5u**
    *   Actual Result: Philadelphia 4 @ Pittsburgh 3 (Total goals: 7)
    *   Outcome: **LOSS** (Total goals of 7 was Over 5.5)

2.  **Montréal Canadiens vs Los Angeles Kings Over 6.0 @ 1.9 - Confidence: High, Units: 1.5u**
    *   Actual Result: Montréal 4 @ Los Angeles 3 (Total goals: 7)
    *   Outcome: **WIN** (Total goals of 7 was Over 6.0)

3.  **Carolina Hurricanes vs Calgary Flames Over 6.0 @ 1.9 - Confidence: High, Units: 1.5u**
    *   Actual Result: Carolina 4 @ Calgary 5 (Total goals: 9)
    *   Outcome: **WIN** (Total goals of 9 was Over 6.0)

4.  **Vancouver Canucks vs Winnipeg Jets Under 6.0 @ 1.9 - Confidence: Medium, Units: 1u**
    *   Actual Result: Vancouver 2 @ Winnipeg 3 (Total goals: 5)
    *   Outcome: **WIN** (Total goals of 5 was Under 6.0)

5.  **Washington Capitals ML vs Boston Bruins @ 2.1 - Confidence: High, Units: 1.5u**
    *   Actual Result: Washington 1 @ Boston 3 (Total goals: 4)
    *   Outcome: **LOSS** (Boston won, not Washington)

---

**Summary of AI Prediction Performance:**

*   **Total Wins: 3**
*   **Total Losses: 2**
*   **Total Pushes: 0**
