As a disciplined NHL betting analyst, I have reviewed the AI's predictions against the actual game results for 2026-03-19.

Here's the breakdown:

1.  **Detroit Red Wings ML vs Montréal Canadiens @ 1.94 - Confidence: High, Units: 1.5u**
    *   Actual Result: Montréal 1 @ Detroit 3 (Total goals: 4)
    *   Outcome: **WIN** (Detroit won the game outright.)

2.  **Boston Bruins ML vs Winnipeg Jets @ 1.70 - Confidence: High, Units: 1.5u**
    *   Actual Result: Winnipeg 1 @ Boston 6 (Total goals: 7)
    *   Outcome: **WIN** (Boston won the game outright.)

3.  **New York Islanders ML vs Ottawa Senators @ 2.10 - Confidence: High, Units: 1.5u**
    *   Actual Result: New York 2 @ Ottawa 3 (Total goals: 5)
    *   Outcome: **LOSS** (Ottawa won the game outright.)

---

**Summary of AI Prediction Performance:**

*   **Total Wins: 2**
*   **Total Losses: 1**
*   **Total Pushes: 0**
