As a disciplined NHL betting analyst, I have reviewed the AI's predictions against the actual game results for 2026-03-22.

Here's the breakdown:

1.  **Dallas Stars ML vs Vegas Golden Knights @ 1.69 - Confidence: High, Units: 1.5u**
    *   Actual Result: Vegas 3 @ Dallas 2 (Total goals: 5)
    *   Outcome: **LOSS** (Dallas lost the game)

2.  **Carolina Hurricanes vs Pittsburgh Penguins Over 6.5 @ 1.90 - Confidence: High, Units: 1.5u**
    *   Actual Result: Carolina 5 @ Pittsburgh 1 (Total goals: 6)
    *   Outcome: **LOSS** (Total goals were 6, which is under 6.5)

3.  **Buffalo Sabres vs Anaheim Ducks Over 6.5 @ 1.90 - Confidence: Medium, Units: 1u**
    *   Actual Result: Buffalo 5 @ Anaheim 6 (Total goals: 11)
    *   Outcome: **WIN** (Total goals were 11, which is over 6.5)

4.  **New York Islanders ML vs Columbus Blue Jackets @ 2.00 - Confidence: Medium, Units: 1u**
    *   Actual Result: Columbus 0 @ New York 1 (Total goals: 1)
    *   Outcome: **WIN** (New York Islanders won the game)

---

**Summary of AI Prediction Performance:**

*   **Total Wins: 2**
*   **Total Losses: 2**
*   **Total Pushes: 0**
