As a disciplined NHL betting analyst, I have reviewed the AI's predictions against the actual game results for 2026-03-30.

Here's the breakdown:

1.  **New York Islanders ML vs Pittsburgh Penguins @ 1.77 - Confidence Level: High, Units: 1.5u**
    *   Actual Result: Pittsburgh 8 @ New York 3 (Total goals: 11)
    *   Outcome: **LOSS** (Islanders lost the game)

2.  **St Louis Blues ML vs San Jose Sharks @ 1.89 - Confidence Level: Medium, Units: 1u**
    *   Actual Result: St. Louis 4 @ San Jose 5 (Total goals: 9)
    *   Outcome: **LOSS** (Blues lost the game)

---

**Summary of AI Prediction Performance:**

*   **Total Wins: 0**
*   **Total Losses: 2**
*   **Total Pushes: 0**
