As a disciplined NHL betting analyst, I have reviewed the AI's predictions against the actual game results for 2026-04-01.

Here's the breakdown:

1.  **Anaheim Ducks ML vs San Jose Sharks @ 1.94 - Confidence: High, Units: 1.5u**
    *   Actual Result: Anaheim 3 @ San Jose 4 (Total goals: 7)
    *   Outcome: **LOSS** (Anaheim lost the game.)

2.  **St Louis Blues ML vs Los Angeles Kings @ 2.17 - Confidence: High, Units: 1.5u**
    *   Actual Result: St. Louis 1 @ Los Angeles 2 (Total goals: 3)
    *   Outcome: **LOSS** (St. Louis lost the game.)

---

**Summary of AI Prediction Performance:**

*   **Total Wins: 0**
*   **Total Losses: 2**
*   **Total Pushes: 0**
