As a disciplined NHL betting analyst, I have reviewed the AI's predictions against the actual game results for 2026-04-16.

Here's the breakdown:

1.  **Nashville Predators ML vs Anaheim Ducks @ 2.08 - Confidence: High, Units: 1.5u**
    *   Actual Result: Anaheim 5 @ Nashville 4 (Total goals: 9)
    *   Outcome: **LOSS** (The Nashville Predators lost the game 4-5.)

2.  **Seattle Kraken vs Colorado Avalanche Under 6.0 @ 1.90 - Confidence: High, Units: 1.5u**
    *   Actual Result: Seattle 0 @ Colorado 2 (Total goals: 2)
    *   Outcome: **WIN** (The total number of goals scored was 2, which is under the line of 6.0.)

3.  **Los Angeles Kings vs Calgary Flames Under 6.5 @ 1.90 - Confidence: Medium, Units: 1u**
    *   Actual Result: Los Angeles 1 @ Calgary 3 (Total goals: 4)
    *   Outcome: **WIN** (The total number of goals scored was 4, which is under the line of 6.5.)

4.  **St. Louis Blues vs Utah Mammoth Over 6.5 @ 1.90 - Confidence: Medium, Units: 1u**
    *   Actual Result: St. Louis 5 @ Utah 3 (Total goals: 8)
    *   Outcome: **WIN** (The total number of goals scored was 8, which is over the line of 6.5.)

---

**Summary of AI Prediction Performance:**

*   **Total Wins: 3**
*   **Total Losses: 1**
*   **Total Pushes: 0**
