As a disciplined NHL betting analyst, I have reviewed the AI's predictions against the actual game results for 2026-05-14.

Here's the breakdown:

1.  **Anaheim Ducks ML vs Vegas Golden Knights @ 1.95 - Confidence Level: Medium, Units: 1.0u**
    *   Actual Result: Vegas 5 @ Anaheim 1 (Total goals: 6)
    *   Outcome: **LOSS** (Anaheim lost the game.)

2.  **Buffalo Sabres ML vs Montréal Canadiens @ 1.81 - Confidence Level: Medium, Units: 1.0u**
    *   Actual Result: Montréal 6 @ Buffalo 3 (Total goals: 9)
    *   Outcome: **LOSS** (Buffalo lost the game.)

---

**Summary of AI Prediction Performance:**

*   **Total Wins: 0**
*   **Total Losses: 2**
*   **Total Pushes: 0**
