As a disciplined NHL betting analyst, I have reviewed the AI's predictions against the actual game results for 2026-03-11.

Here's the breakdown:

1.  **Washington Capitals ML vs Philadelphia Flyers @ 1.75 - Confidence: High, Units: 1.5u**
    *   Actual Result: Washington 1 @ Philadelphia 4 (Total goals: 5)
    *   Outcome: **LOSS** (The Capitals did not win the game.)

2.  **Montréal Canadiens vs Ottawa Senators Over 6.5 @ 1.90 - Confidence: Medium, Units: 1u**
    *   Actual Result: Montréal 3 @ Ottawa 2 (Total goals: 5)
    *   Outcome: **LOSS** (The total goals of 5 did not exceed the line of 6.5.)

---

**Summary of AI Prediction Performance:**

*   **Total Wins: 0**
*   **Total Losses: 2**
*   **Total Pushes: 0**
