As a disciplined NHL betting analyst, I have reviewed the AI's predictions against the actual game results for 2026-03-17.

Here's the breakdown:

1.  **Winnipeg Jets ML vs Nashville Predators @ 1.76 - Confidence: High, Units: 1.5u**
    *   Actual Result: Nashville 4 @ Winnipeg 3 (Total goals: 7)
    *   Outcome: **LOSS** (Winnipeg lost the game.)

2.  **New York Islanders vs Toronto Maple Leafs Over 6.0 @ 1.90 - Confidence: Medium, Units: 1u**
    *   Actual Result: New York 3 @ Toronto 1 (Total goals: 4)
    *   Outcome: **LOSS** (The total goals (4) were less than the line of 6.0.)

3.  **Florida Panthers vs Vancouver Canucks Over 6.0 @ 1.90 - Confidence: Medium, Units: 1u**
    *   Actual Result: Florida 2 @ Vancouver 5 (Total goals: 7)
    *   Outcome: **WIN** (The total goals (7) were greater than the line of 6.0.)

4.  **Columbus Blue Jackets ML vs Carolina Hurricanes @ 2.05 - Confidence: Medium, Units: 1u**
    *   Actual Result: Carolina 1 @ Columbus 5 (Total goals: 6)
    *   Outcome: **WIN** (Columbus won the game.)

---

**Summary of AI Prediction Performance:**

*   **Total Wins: 2**
*   **Total Losses: 2**
*   **Total Pushes: 0**
