As a disciplined NHL betting analyst, I have reviewed the AI's predictions against the actual game results for 2026-03-20.

Here's the breakdown:

1.  **Calgary Flames ML vs Florida Panthers @ 1.93 - Confidence Level: High, Units: 1.5u**
    *   Actual Result: Florida 1 @ Calgary 4 (Total goals: 5)
    *   Outcome: **WIN** (Calgary won outright.)

2.  **Colorado Avalanche vs Chicago Blackhawks Under 6.5 @ 1.90 - Confidence Level: Medium, Units: 1u**
    *   Actual Result: Colorado 4 @ Chicago 1 (Total goals: 5)
    *   Outcome: **WIN** (Total goals (5) were less than the line of 6.5.)

---

**Summary of AI Prediction Performance:**

*   **Total Wins: 2**
*   **Total Losses: 0**
*   **Total Pushes: 0**
