As a disciplined NHL betting analyst, I have reviewed the AI's predictions against the actual game results for 2026-03-31.

Here's the breakdown:

1.  **Columbus Blue Jackets ML vs Carolina Hurricanes @ 2.13 - Confidence: High, Units: 1.5u**
    *   Actual Result: Carolina 5 @ Columbus 2 (Total goals: 7)
    *   Outcome: **LOSS** (Columbus lost the game)

2.  **New Jersey Devils vs New York Rangers Over 6.0 @ 1.90 - Confidence: High, Units: 1.5u**
    *   Actual Result: New Jersey 1 @ New York 4 (Total goals: 5)
    *   Outcome: **LOSS** (Total goals 5 was under the 6.0 line)

3.  **Boston Bruins ML vs Dallas Stars @ 2.10 - Confidence: High, Units: 1.5u**
    *   Actual Result: Dallas 3 @ Boston 6 (Total goals: 9)
    *   Outcome: **WIN** (Boston won the game)

4.  **Montréal Canadiens vs Tampa Bay Lightning Over 6.5 @ 1.90 - Confidence: Medium, Units: 1u**
    *   Actual Result: Montréal 4 @ Tampa Bay 1 (Total goals: 5)
    *   Outcome: **LOSS** (Total goals 5 was under the 6.5 line)

---

**Summary of AI Prediction Performance:**

*   **Total Wins: 1**
*   **Total Losses: 3**
*   **Total Pushes: 0**
