As a disciplined NHL betting analyst, I have reviewed the AI's predictions against the actual game results for 2026-04-09.

Here's the breakdown:

1.  **St Louis Blues ML vs Winnipeg Jets @ 1.90 - Confidence: Medium, Units: 1u**
    *   Actual Result: Winnipeg 3 @ St. Louis 2 (Total goals: 5)
    *   Outcome: **LOSS** (St. Louis lost the game outright.)

2.  **Carolina Hurricanes vs Chicago Blackhawks Over 6.0 @ 1.90 - Confidence: Medium, Units: 1u**
    *   Actual Result: Carolina 7 @ Chicago 2 (Total goals: 9)
    *   Outcome: **WIN** (Total goals of 9 exceeded the line of 6.0.)

3.  **San Jose Sharks vs Anaheim Ducks Over 6.5 @ 1.90 - Confidence: Medium, Units: 1u**
    *   Actual Result: San Jose 1 @ Anaheim 6 (Total goals: 7)
    *   Outcome: **WIN** (Total goals of 7 exceeded the line of 6.5.)

4.  **Minnesota Wild ML vs Dallas Stars @ 2.04 - Confidence: Medium, Units: 1u**
    *   Actual Result: Minnesota 4 @ Dallas 5 (Total goals: 9)
    *   Outcome: **LOSS** (Minnesota lost the game outright.)

5.  **Montréal Canadiens ML vs Tampa Bay Lightning @ 1.99 - Confidence: Medium, Units: 1u**
    *   Actual Result: Tampa Bay 1 @ Montréal 2 (Total goals: 3)
    *   Outcome: **WIN** (Montréal won the game outright.)

---

**Summary of AI Prediction Performance:**

*   **Total Wins: 3**
*   **Total Losses: 2**
*   **Total Pushes: 0**
