As a disciplined NHL betting analyst, I have reviewed the AI's predictions against the actual game results for 2026-04-20.

Here's the breakdown:

1.  **Philadelphia Flyers ML vs Pittsburgh Penguins @ 2.30 - Confidence Level: Medium, Units: 1u**
    *   Actual Result: Philadelphia 3 @ Pittsburgh 0 (Total goals: 3)
    *   Outcome: **WIN** (The Philadelphia Flyers won the game outright.)

2.  **Minnesota Wild ML vs Dallas Stars @ 2.15 - Confidence Level: Medium, Units: 1u**
    *   Actual Result: Minnesota 2 @ Dallas 4 (Total goals: 6)
    *   Outcome: **LOSS** (The Minnesota Wild lost the game.)

3.  **Ottawa Senators ML vs Carolina Hurricanes @ 2.27 - Confidence Level: Medium, Units: 1u**
    *   Actual Result: Ottawa 2 @ Carolina 3 (Total goals: 5)
    *   Outcome: **LOSS** (The Ottawa Senators lost the game.)

---

**Summary of AI Prediction Performance:**

*   **Total Wins: 1**
*   **Total Losses: 2**
*   **Total Pushes: 0**
