As a disciplined NHL betting analyst, I have reviewed the AI's predictions against the actual game results for 2026-05-10.

Here's the breakdown:

1.  **Montréal Canadiens ML vs Buffalo Sabres @ 1.78 - Confidence Level: High, Units: 1.5u**
    *   Actual Result: Buffalo 2 @ Montréal 6 (Total goals: 8)
    *   Outcome: **WIN** (Montréal won the game 6-2 as predicted by the ML bet.)

2.  **Vegas Golden Knights vs Anaheim Ducks Under 6.5 @ 1.90 - Confidence Level: Medium, Units: 1.0u**
    *   Actual Result: Vegas 3 @ Anaheim 4 (Total goals: 7)
    *   Outcome: **LOSS** (The total goals were 7, which is over the 6.5 line.)

---

**Summary of AI Prediction Performance:**

*   **Total Wins: 1**
*   **Total Losses: 1**
*   **Total Pushes: 0**
