As a disciplined NHL betting analyst, I have reviewed the AI's predictions against the actual game results for 2026-05-18.

Here's the breakdown:

1.  **Montréal Canadiens vs Buffalo Sabres Over 5.5 @ 1.95 - Confidence Level: Medium, Units: 1u**
    *   Actual Result: Montréal 3 @ Buffalo 2 (Total goals: 5)
    *   Outcome: **LOSS** (Total goals 5 is not over 5.5)

2.  **Montréal Canadiens ML vs Buffalo Sabres @ 1.95 - Confidence Level: Medium, Units: 1u**
    *   Actual Result: Montréal 3 @ Buffalo 2 (Total goals: 5)
    *   Outcome: **WIN** (Montréal won the game outright)

---

**Summary of AI Prediction Performance:**

*   **Total Wins: 1**
*   **Total Losses: 1**
*   **Total Pushes: 0**
